Claim Title	Claim	Verdict	Author	Domain
„...în toate țările civilizate și cu economii mai dezvoltate decât România [există impozitare progresivă]. Mai sunt patru state care au rămas la cota unică în Europa (...)”.	„ar arăta cum arată în restul Europei, în toate țările civilizate și cu economii mai dezvoltate decât România. Mai sunt patru state care au rămas la cota unică în Europa (…)”.	ADEVĂRAT	Marcel Ciolacu	Finante
Este pentru prima dată când în România avem aprobat bugetul înainte de jumătatea lunii decembrie.	„Vă mulţumesc pentru efortul pe care l-aţi făcut ca în această perioadă să reuşim să avem bugetul aprobat. Este pentru prima dată când în România avem aprobat bugetul înainte de jumătatea lunii decembrie. Vreau să vă spun că este un buget realist, echilibrat, care vizează susţinerea economiei şi protejarea populaţiei. Vom continua să ne focalizăm atenţia pe tot ce poate să însemne susţinerea mediului de afaceri, investiţii, protejarea cetăţenilor, protejarea cetăţenilor vulnerabili. Vă doresc succes în continuare şi sărbători fericite tuturor”	FALS	Nicolae Ciucă	Finante
[...] cu o singură excepție (Finlanda), niciun stat nu a implementat satisfăcător toate recomandările (n.r. din rapoartele Greco)	[…] cu o singură excepție (Finlanda), niciun stat nu a implementat satisfăcător toate recomandările (n.r. din rapoartele Greco). Aceasta a mai adăugat că “spre exemplu, Olanda – din 7 recomandări, doar 3 au fost implementate satisfăcător, Portugalia – din 15 recomandări au implementat doar una satisfăcător, Franța – din 11 recomandări, 4 au fost implementate satisfăcător, iar exemplele pot continua.	PARȚIAL ADEVĂRAT	Norica Nicolai	Justitie
„Ceea ce s-a întâmplat la Ministerul de Finanţe este ilegal. Ei au estimat pe hârtie [...] că veniturile în România la finalul anului 2016 vor creşte cu aproape trei miliarde. Drept pentru care au făcut o rectificare pozitivă. Asta era undeva în 23 noiembrie. 31 decembrie ne arată că veniturile sunt mai mici cu 10 miliarde sau cu 14, o să primesc toate datele mâine dimineaţă. Asta este total ilegal. [...] Suntem în situaţia în care bugetul României pe anul 2017 are o gaură de 10 miliarde de lei, pe care o vom acoperi, dar care puteau să se ducă în alte lucruri bune pe care puteam să le facem''.	„Este foarte posibil ca mâine, o să mă consult cu colegii mei, să iniţiem o comisie de anchetă, pentru că ceea ce s-a întâmplat la Ministerul de Finanţe este ilegal. Ei au estimat pe hârtie, având la bază probabil nişte angajamente scrise din partea unor decidenţi, că veniturile în România la finalul anului 2016 vor creşte cu aproape trei miliarde. Drept pentru care au făcut o rectificare pozitivă. Asta era undeva în 23 noiembrie. 31 decembrie ne arată că veniturile sunt mai mici cu 10 miliarde sau cu 14, o să primesc toate datele mâine dimineaţă. Asta este total ilegal. Cine a minţit cu aceste date, ceea ce nu s-a mai întâmplat în România, va trebui să plătească”. „Suntem în situaţia în care bugetul României pe anul 2017 are o gaură de 10 miliarde de lei, pe care o vom acoperi, dar care puteau să se ducă în alte lucruri bune pe care puteam să le facem”	FALS	Liviu Dragnea	Finante
Conducerea PSD primește de la Bugetul de Stat (din taxele și impozitele românilor) aproape 200.000 EURO/zi !!! (am scris corect - pe zi!).	Conducerea PSD primește de la Bugetul de Stat (din taxele și impozitele românilor) aproape 200.000 EURO/zi !!! (am scris corect - pe zi!).	FALS	Victor Ponta	Politica
România are cel mai scăzut risc de țară din ultimii 6-7 ani și ne împrumutăm cel mai ieftin din istoria țării	România are cel mai scăzut risc de țară din ultimii 6-7 ani și ne împrumutăm cel mai ieftin din istoria țării	ADEVĂRAT	Victor Ponta	Economie
Sperăm şi din partea preşedintelui o reacţie, pentru că vor veni aceste legi la promulgare şi are posibilitatea unei reexaminări, poate că va sesiza şi Comisia de la Veneţia, e în atributul său.	Sperăm şi din partea preşedintelui o reacţie, pentru că vor veni aceste legi la promulgare şi are posibilitatea unei reexaminări, poate că va sesiza şi Comisia de la Veneţia, e în atributul său.	ADEVĂRAT	Stelian Ion	Politica
Toate statele care sunt pe punctul de a relaxa restricțiile pentru pornirea economiei sunt campioane la testele de coronavirus.	Toate statele care sunt pe punctul de a relaxa restricțiile pentru pornirea economiei sunt campioane la testele de coronavirus.	TRUNCHIAT	Mihai Fifor	Externe
„România are una dintre cele mai mari rate de creştere economică din Uniunea Europeană, a şasea cea mai mică rată a datoriei publice în PIB din UE şi cea mai mică rată a şomajului din ultimii 30 de ani.”	„România are una dintre cele mai mari rate de creştere economică din Uniunea Europeană, a şasea cea mai mică rată a datoriei publice în PIB din UE şi cea mai mică rată a şomajului din ultimii 30 de ani.”	PARȚIAL ADEVĂRAT	Eugen Teodorovici	Economie
“În ultimii 4 ani, peste 3.000 de magistrați au fost cercetați de DNA. Practic, jumătate dintre magistrații din România au avut, ani de zile, dosare, prin care, probabil, au fost influențați să dea soluții stabilite în afara sălii de judecată. Nu o spun doar eu, o spun cu multă îngrijorare asociațiile de magistrați din România. Prin astfel de dosare contrafăcute, au fost înlăturați din funcție un judecător al Curții Constituționale, un vicepreședinte al Consiliului Superior al Magistraturii, patru judecători ai Înaltei Curți, mai mulți judecători de instanțe superioare, un procuror general, un șef de parchet superior. În final, toți au fost achitați sau dosarele au fost clasate. Dar ei au fost înlăturați!”	“În ultimii 4 ani, peste 3.000 de magistrați au fost cercetați de DNA. Practic, jumătate dintre magistrații din România au avut, ani de zile, dosare, prin care, probabil, au fost influențați să dea soluții stabilite în afara sălii de judecată. Nu o spun doar eu, o spun cu multă îngrijorare asociațiile de magistrați din România. Prin astfel de dosare contrafăcute, au fost înlăturați din funcție un judecător al Curții Constituționale, un vicepreședinte al Consiliului Superior al Magistraturii, patru judecători ai Înaltei Curți, mai mulți judecători de instanțe superioare, un procuror general, un șef de parchet superior. În final, toți au fost achitați sau dosarele au fost clasate. Dar ei au fost înlăturați!”	FALS	Viorica Dăncilă	Justitie
(…) Cel puțin la Oana Bîzgan, la un consiliu de administrație (nr. numirea), ea a avut un loc în urma unui concurs, nu în urma unei numiri din partea guvernului (…) Selecția a făcut-o o companie internațională, n-a facut-o guvernul.	(…) Cel puțin la Oana Bîzgan, la un consiliu de administrație (nr. numirea), ea a avut un loc în urma unui concurs, nu în urma unei numiri din partea guvernului (…) Selecția a făcut-o o companie internațională, n-a facut-o guvernul.	PARȚIAL FALS	Nicușor Dan	Politica
Preşedintele României nu are nicio atribuţie practică în a constata vacanţa unui mandat, dar cred că CCR trebuie să analizeze cu maximă răspundere această chestiune, pentru a nu rămâne o umbră. Eu voi respecta Constituţia indiferent de ce se întâmplă.	Prin tolerarea acestor mandate mai lungi chiar Curtea Constituţională s-a pus singură în situaţia de a-i fi chestionată respectarea supremaţiei Constituţiei, […] Responsabilitatea de a rezolva problema îi revine preşedintelui CCR. Preşedintele României nu are nicio atribuţie practică în a constata vacanţa unui mandat, dar cred că CCR trebuie să analizeze cu maximă răspundere această chestiune, pentru a nu rămâne o umbră. Eu voi respecta Constituţia indiferent de ce se întâmplă.	ADEVĂRAT	Klaus Iohannis	Politica
(...) tot ce mi-a rămas mie în urma partajului sunt bunuri pe care le aveam dinaintea căsătoriei. Eu și soțul meu nu am împărțit nimic. Aveam două terenuri, două case. Tot ce mi-a rămas mie în urma divorțului sunt bunuri dinaintea căsătoriei.	(…) tot ce mi-a rămas mie în urma partajului sunt bunuri pe care le aveam dinaintea căsătoriei. Eu și soțul meu nu am împărțit nimic. Aveam două terenuri, două case. Tot ce mi-a rămas mie în urma divorțului sunt bunuri dinaintea căsătoriei.	FALS	Elena Udrea	Politica
(...) În Est, avem de-a face cu Federaţia Rusă mai activă, mai agresivă cu vecinii săi, care încalcă normele de drept internaţional şi care, prin acţiunile sale de militarizare a spaţiului Mării Negre, inclusiv în Crimeea ilegal ocupată, a afectat grav echilibrul de securitate la Marea Neagră. (...)	(...) În Est, avem de-a face cu Federaţia Rusă mai activă, mai agresivă cu vecinii săi, care încalcă normele de drept internaţional şi care, prin acţiunile sale de militarizare a spaţiului Mării Negre, inclusiv în Crimeea ilegal ocupată, a afectat grav echilibrul de securitate la Marea Neagră. (...)	ADEVĂRAT	Klaus Iohannis	Externe
 (...)eu, Sorin Grindeanu şi Gabi Firea am semnat acea Ordonanţă prin care am impus un procent de participare a femeilor în Consiliile de Administraţie ale companiilor.	Haideţi să spunem oamenilor că, atunci când am conştientizat că e nevoie de femei, atunci când am conştientizat că trebuie să avem femeile alături de noi, eu, Sorin Grindeanu şi Gabi Firea am semnat acea Ordonanţă prin care am impus un procent de participare a femeilor în Consiliile de Administraţie ale companiilor. (…) Nu au venit liberalii, nu au venit cei de dreapta să spună că vor această participare, am venit noi, social-democraţii,	TRUNCHIAT	Florin Spătaru	Politica
Prin Legea recursului compensatoriu, guvernele lui Dragnea au eliberat din pușcării în ultimele 18 luni peste 14.000 de infractori, printre care tâlhari violenți și violatori. Legea dată de PSD reprezintă un pericol major pentru societate. Nu mai puțin de 700 dintre pușcăriașii eliberați au ajuns înapoi în pușcării în urma săvârșirii unor noi infracțiuni.	Prin Legea recursului compensatoriu, guvernele lui Dragnea au eliberat din pușcării în ultimele 18 luni peste 14.000 de infractori, printre care tâlhari violenți și violatori. Legea dată de PSD reprezintă un pericol major pentru societate. Nu mai puțin de 700 dintre pușcăriașii eliberați au ajuns înapoi în pușcării în urma săvârșirii unor noi infracțiuni.	PARȚIAL ADEVĂRAT	Brigitte Clotilde Armand	Justitie
„România este statul care a dat cel mai mic sprijin financiar pentru redresare economică: 3% din PIB. Prin comparație, celălalt guvern Orban a oferit ungurilor 18% din PIB, Cehia - 14%, Austria – 13%.”	„ Laudele guvernului meusunt contrazise din afara țării: România este statul care a dat cel mai mic sprijin financiar pentru redresare economică: 3% din PIB.Prin comparație, celălalt guvern Orban a oferit ungurilor 18% din PIB, Cehia – 14%, Austria – 13%. Toate, țări mult mai mici decât România. Erste, proprietarul BCR, estimează și că România va avea creșterea cea mai mică dintre cele șapte țări în care activează compania austriacă.” 	PARȚIAL ADEVĂRAT	Carmen Avram	Economie
„Ne-am angajat în PNRR că suntem singura țară din Europa care legăm absorbția fondurilor europene de ținta de deficit bugetar”.	„Așa ne-am angajat în PNRR, că suntem singura țară din Europa care legăm absorbția fondurilor europene de ținta de deficit bugetar. Nicio țară din Europa nu și-a mai pus o astfel de problemă în PNRR, până la urmă. România, condusă atunci de cine a condus-o, a făcut acest lucru”.	FALS	Gabriel Zetea	Finante
„Interesant ar fi ca Virgil Popescu, ca înalt demnitar al statului, să-mi facă o plângere, să-mi spună de unde și până unde am eu relații cu Rusia, că e înaltă trădare. De când e el ministru, importăm de două ori mai mult combustibil din Rusia, ceea ce îl face pe el mai prieten al Rusiei decât mine.”	„Interesant ar fi ca Virgil Popescu, ca înalt demnitar al statului, să-mi facă o plângere, să-mi spună de unde și până unde am eu relații cu Rusia, că e înaltă trădare. De când e el ministru, importăm de două ori mai mult combustibil din Rusia, ceea ce îl face pe el mai prieten al Rusiei decât mine.”	TRUNCHIAT	George Simion	Energie
"„Deşi ţinta de absorbţie a crescut semnificativ faţă de anul trecut şi, în ciuda dificultăţilor create din cauza lipsei de resurse umane în această direcţie a Ministerului Dezvoltării, am reuşit să atingem şi să depăşim ţintele de dezangajare şi de absorbţie a fondurilor europene disponibile prin POR şi pentru acest an. Acest lucru înseamnă că am reuşit să cheltuim fiecare euro disponibil pentru investiţii care dezvoltă localităţile din România""."	"„Deşi ţinta de absorbţie a crescut semnificativ faţă de anul trecut şi, în ciuda dificultăţilor create din cauza lipsei de resurse umane în această direcţie a Ministerului Dezvoltării, am reuşit să atingem şi să depăşim ţintele de dezangajare şi de absorbţie a fondurilor europene disponibile prin POR şi pentru acest an. Acest lucru înseamnă că am reuşit să cheltuim fiecare euro disponibil pentru investiţii care dezvoltă localităţile din România""."	ADEVĂRAT	Attila Cseke	Finante
"Ar fi o premieră în politica românească, după şase luni de la alegeri, să pice un guvern."""	Ar fi o premieră în politica românească, după şase luni de la alegeri, să pice un guvern. De obicei pică la sfârşitul mandatului, dar începe să se creeze o masă critică.	FALS	Marcel Ciolacu	Politica
1 miliard de lei din fondul de rezervă au mers exclusiv către autoritățile locale	În anul recent încheiat, aproape 1 miliard de lei din acest fond au mers exclusiv către autoritățile locale, doar în campania electorală Victor Ponta împărțind pe criterii politice 357 de milioane de lei pentru primării și consilii județene.	PARȚIAL ADEVĂRAT	Alina Gorghiu	Politica
Pentru un leu care vine din Vaslui pleacă 4 acolo	Vasluiul dă la bugetul ţării 650 milioane lei şi primeste 2.4 miliarde lei. Pentru un leu care vine din Vaslui pleacă 4 acolo.	FALS	Victor Ponta	Economie
Astăzi la PF (n.r. - Porțile de Fier) producem 35% din totalul producției de energiei electrică al Hidroelectrica.	Astăzi la PF (n.r. - Porțile de Fier) producem 35% din totalul producției de energiei electrică al Hidroelectrica.	ADEVĂRAT	Virgil Popescu	Energie
În ultima vreme am văzut că procesul de absorbție a fondurilor structurale a devenit din ce în ce mai lent, au existat foarte multe întârzieri. Iată că suntem în cel de-al patrulea an al noii perioade de programare și rata de accesare a banilor prin programe și proiecte noi pe noua perioadă a fost în ultimii 3-4 ani foarte lentă. Văd că acum începe din nou să se accelereze, dar adevărul e că ne apropiem de sfârșitul perioadei de programare, următoarea perioadă de programare începe în 2020. (...) România primește în această perioadă de programare circa 30 de miliarde de euro, care reprezintă 2% din PIB și este mult pentru România.	În ultima vreme am văzut că procesul de absorbție a fondurilor structurale a devenit din ce în ce mai lent, au existat foarte multe întârzieri. Iată că suntem în cel de-al patrulea an al noii perioade de programare și rata de accesare a banilor prin programe și proiecte noi pe noua perioadă a fost în ultimii 3-4 ani foarte lentă. Văd că acum începe din nou să se accelereze, dar adevărul e că ne apropiem de sfârșitul perioadei de programare, următoarea perioadă de programare începe în 2020. (...) România primește în această perioadă de programare circa 30 de miliarde de euro, care reprezintă 2% din PIB și este mult pentru România.	PARȚIAL ADEVĂRAT	Joachim Zeller	Finante
Sesizarea de neconsituționalitate nu suspendă aplicarea OUG nr. 57/2013	Sesizarea de neconsituționalitate nu suspendă aplicarea OUG nr. 57/2013, care este în vigoare din data de 1 iulie 2013 și care a produs și produce în continuare efecte	PARȚIAL ADEVĂRAT	Bogdan Oprea	Politica
Niciun prefect sau subprefect fixat definitiv prin concurs nu a fost schimbat. Schimbările au vizat exclusiv prefecți sau subprefecți pe care guvernul precedent i-a numit temporar.	Niciun prefect sau subprefect fixat definitiv prin concurs nu a fost schimbat. Schimbările au vizat exclusiv prefecți sau subprefecți pe care guvernul precedent i-a numit temporar.	PARȚIAL FALS	Dacian Cioloș	Politica
"„Astăzi România este pe locul șase în UE, cu o rată a inflației de 2,7%. În guvernarea PSD, România a avut cea mai mare rată a inflației din UE, 3 ani la rând. Mai clar, România a condus topul rușinii în UE 3 ani la rând când a fost guvernată de socialiști""."	"„Astăzi România este pe locul șase în UE, cu o rată a inflației de 2,7%. În guvernarea PSD, România a avut cea mai mare rată a inflației din UE, 3 ani la rând. Mai clar, România a condus topul rușinii în UE 3 ani la rând când a fost guvernată de socialiști""."	PARȚIAL ADEVĂRAT	Florin Cîțu	Economie
Nu avem cetăţeni români care să fi trecut din România în Ucraina în această perioadă.	„(…) pentru cetăţenii români, noi putem să ştim fluxul spre Ucraina, nu au mers oameni spre Ucraina dinspre România în această perioadă, pentru că noi fiind graniţă, să zicem Schengen sau viitoare graniţă Schengen, avem o foarte exactă statistică a celor care trec prin România”.	FALS	Vasile Dîncu	Externe
Vor să mă bage la puşcărie cu un complet făcut cu încălcarea legii.	”O să studiez cu avocaţii mei ce demersuri putem face, este nelegal (completul de judecată – n.r.) pentru că legea, nu mai ştiu cât, care a modificat 304, spune cu totul altceva şi noi considerăm că este nelegal. O să vorbesc cu avocaţii azi şi mâine să vedem ce demersuri putem face. Vor să mă bage la puşcărie cu un complet făcut cu încălcarea legii. Legea spune că preşedinţii completelor sunt repartizaţi aleatoriu. ICCJ a adoptat o decizie prin care legea intră în vigoare de la 1 ianuarie 2019. De ce? Ca să desemneze două complete nelegal. Vom contesta, sigur, dar tot la ei.”	FALS	Liviu Dragnea	Justitie
"„Au fost împrumuturi de 200 de miliarde de lei făcute în 2 ani de zile. Ca o proporție, toate pensiile din România au o anvelopă de 100 de miliarde. Au împrumutat și alte state din UE. Nu la dimensiunea asta."""	"„Au fost împrumuturi de 200 de miliarde de lei făcute în 2 ani de zile. Ca o proporție, toate pensiile din România au o anvelopă de 100 de miliarde. Au împrumutat și alte state din UE. Nu la dimensiunea asta."""	TRUNCHIAT	Marcel Ciolacu	Economie
„Pentru a deveni stat membru al zonei euro trebuie îndeplinite cinci condiţii. Prima este condiţia datoriei publice, sub 60% din PIB. În România datoria este în creştere, acest guvern ne îndatorează, dar încă suntem sub această limită. Este singura condiţie pe care o îndeplinim. În urmă cu doi ani de zile îndeplineam şi cea de-a doua condiţie, şi anume criteriul inflaţiei. Când PSD a venit la guvernare, inflaţia în România era 0%. În urmă cu un an de zile era 0,6%, acum este peste 5%. Deci, nu mai îndeplinim criteriul inflaţiei. Suntem statul membru al UE cu cea mai mare rată a inflaţiei.”	„Pentru a deveni stat membru al zonei euro trebuie îndeplinite cinci condiţii. Prima este condiţia datoriei publice, sub 60% din PIB. În România datoria este în creştere, acest guvern ne îndatorează, dar încă suntem sub această limită. Este singura condiţie pe care o îndeplinim. În urmă cu doi ani de zile îndeplineam şi cea de-a doua condiţie, şi anume criteriul inflaţiei. Când PSD a venit la guvernare, inflaţia în România era 0%. În urmă cu un an de zile era 0,6%, acum este peste 5%. Deci, nu mai îndeplinim criteriul inflaţiei. Suntem statul membru al UE cu cea mai mare rată a inflaţiei.”	ADEVĂRAT	Siegfried Mureșan	Externe
Strâng semnături pentru fără penali în funcţii publice şi când te uiţi în text constaţi că nu este vorba de toate funcţiile publice, ci doar de două, trei categorii de funcţii: deputaţi, senatori, preşedintele României, deci funcţii alese.	Strâng semnături pentru fără penali în funcţii publice şi când te uiţi în text constaţi că nu este vorba de toate funcţiile publice, ci doar de două, trei categorii de funcţii: deputaţi, senatori, preşedintele României, deci funcţii alese. Poate că persoanele respective îşi doreau să fie fără penali în toate funcţiile publice şi nu am înţeles de ce au făcut această deosebire cei de la USR, adică doar fără penali în funcţiile alese. Ar putea să aibă o urmare la care nici nu s-au gândit, şi anume, dacă acest lucru ar fi legiferat în acest sens, adică Constituţia ar limita această interdicţie doar la funcţiile alese. Celelalte legi care fac nişte limitări pentru alte funcţii ce nu sunt alese ar deveni neconstituţionale. Adică s-ar da liber ca la toate funcţiile, altele decât alese, să se umple de penali.	PARȚIAL ADEVĂRAT	Eugen Nicolicea	Politica
Chiar nu e nevoie neapărat să se înființeze o noua comisie. Comisiile de Apărare din cele două camere au în atribuțiile lor supravegherea instituțiilor de forță ale statului. În Comisia de Apărare din Senat vom încerca din nou să-i aducem pe cei trei protagoniști din 10 august: ministrul, prefectul și comandantul dispozitivului.	Chiar nu e nevoie neapărat să se înființeze o noua comisie. Comisiile de Apărare din cele două camere au în atribuțiile lor supravegherea instituțiilor de forță ale statului. În Comisia de Apărare din Senat vom încerca din nou să-i aducem pe cei trei protagoniști din 10 august: ministrul, prefectul și comandantul dispozitivului.	ADEVĂRAT	Nicu Fălcoi	Politica
Am văzut că din 2004 încoace nicio coaliţie nu a rezistat patru ani.	Am văzut că din 2004 încoace nicio coaliţie nu a rezistat patru ani.	ADEVĂRAT	Tánczos Barna	Politica
ABUZUL ÎN SERVICIU A FOST DEZINCRIMINAT tacit întrucat Guvernul Cioloș nu a îndreptat în 45 zile articolul, conform deciziei obligatorii a CCR 405/2016. Curtea de Apel Alba Iulia a decis definitiv la 9 februarie că art. 297 Cod penal a fost dezincriminat și a încetat condamnarea unui inculpat. Protestele din Capitală au fost o uriașă manipulare. Decizia Curții de Apel Alba Iulia arată că demersul Guvernului a fost corect. Guvernul Grindeanu a încercat să evite această situație în care un inculpat evita condamnarea pentru că fostul Guvern Cioloș și fostul Parlament nu și-au facut treaba să aplice decizia obligatorie a CCR privind modificarea abuzului în serviciu din Codul Penal.	ABUZUL ÎN SERVICIU A FOST DEZINCRIMINAT tacit întrucat Guvernul Cioloș nu a îndreptat în 45 zile articolul, conform deciziei obligatorii a CCR 405/2016. Curtea de Apel Alba Iulia a decis definitiv la 9 februarie că art. 297 Cod penal a fost dezincriminat și a încetat condamnarea unui inculpat. Protestele din Capitală au fost o uriașă manipulare. Decizia Curții de Apel Alba Iulia arată că demersul Guvernului a fost corect. Guvernul Grindeanu a încercat să evite această situație în care un inculpat evita condamnarea pentru că fostul Guvern Cioloș și fostul Parlament nu și-au facut treaba să aplice decizia obligatorie a CCR privind modificarea abuzului în serviciu din Codul Penal.	FALS	Florin Buicu	Justitie
Noi plătim energia electrică de trei ori mai mult decât plătește Spania	„Noi suntem preocupați de cu totul și cu totul altceva decât să rezolvăm noi problema din organizația Iași. Nu. Problemele majore pe care le are această coaliție, acum, imediat, la începutul lui septembrie – și Parlamentul – va fi, în mod concret, să rezolvăm chestiunea cu prețul energiei electrice, pentru că mecanismul ăsta de compensare pe care l-a propus ministrul Energiei nu poate face față creșterii prețurilor. Și noi am insistat pe reglementarea prețului energiei, pe care o vedem ca singura soluție pentru a opri creșterea asta necontrolabilă a prețurilor energiei și a inflației – pentru că trebuie să știți că cam 80% din inflația de astăzi se datorează creșterii prețului la energia electrică. Noi suntem cei care plătim energia electrică, doamna Ciurlea, de trei ori mai mult decât îl plătește Spania”	TRUNCHIAT	Daniel-Cătălin Zamfir	Energie
Am suplimentat bugetul investițiilor cu 15,7 miliarde de lei față de anul trecut. Avem cea mai mare creștere din toate timpurile la bugetul educației – un plus de peste 10 miliarde față de anul 2018. Anul trecut am avut o creștere economică de 3 ori mai mare decât media europeană. Veniturile la bugetul de stat au ajuns la cel mai mare nivel din toate timpurile.	Am suplimentat bugetul investițiilor cu 15,7 miliarde de lei față de anul trecut. Avem cea mai mare creștere din toate timpurile la bugetul educației – un plus de peste 10 miliarde față de anul 2018. Anul trecut am avut o creștere economică de 3 ori mai mare decât media europeană. Veniturile la bugetul de stat au ajuns la cel mai mare nivel din toate timpurile.	FALS	Viorica Dăncilă	Politica
Sunt două decizii ale CCR care ne spun că nu este de admis un referendum care va duce la modificarea Constituției, pentru că acolo Constituția și legile reglementează o altă procedură.	Sunt două decizii ale CCR care ne spun că nu este de admis un referendum care va duce la modificarea Constituției, pentru că acolo Constituția și legile reglementează o altă procedură.	FALS	Norica Nicolai	Justitie
Din punctul meu de vedere, nu are cum să mă excludă vreodată Liviu Dragnea, că nu mă poate exclude el de câte ori mă pot eu reînscrie	Am fost, sunt şi voi fi membru în acest partid, nu am schimbat partidul, nu vreau şi nu pot. Sunt pesedist şi punct. Nu poate să mă dea Liviu Dragnea afară ori de câte ori vrea. Organizaţia pe care o conduc consideră că sunt membru şi, aşa cum spuneam, am venit să văd pulsul organizaţiei Timişoara, pe care o conduc. (…) De altfel, domnii au cam uitat să trimită actele cu excluderea mea din partid. Din punctul meu de vedere, nu are cum să mă excludă vreodată Liviu Dragnea, că nu mă poate exclude el de câte ori mă pot eu reînscrie.	FALS	Sorin Grindeanu	Politica
Scumpirea carburanților a fost cauza principală care a generat alte scumpiri. Din nou, cifrele INS vorbesc de la sine: în septembrie față de august, România a înregistrat cea mai mare creștere de prețuri din ultimul an (0,50%).  [...] Inflația s-a reaprins și a ajuns la cel mai mare nivel al ultimilor doi ani. Veniturile românilor sunt erodate zi de zi, măririle salariale de pe hârtie se dovedesc o cacealma.	Scumpirea carburanților a fost cauza principală care a generat alte scumpiri. Din nou, cifrele INS vorbesc de la sine: în septembrie față de august, România a înregistrat cea mai mare creștere de prețuri din ultimul an (0,50%).  [...] Inflația s-a reaprins și a ajuns la cel mai mare nivel al ultimilor doi ani. Veniturile românilor sunt erodate zi de zi, măririle salariale de pe hârtie se dovedesc o cacealma.	ADEVĂRAT	Raluca Turcan	Energie
O să o spun abrupt, ca să nu ne învârtim în jurul cozii: n-am desfiinţat-o pentru că o parte dintre cei care sunt acum în coaliţie erau, la acel moment al înfiinţării, de partea cealaltă, alături de PSD, adică UDMR. A votat şi înfiinţarea SIIJ, a votat şi legile Justiţiei varianta Iordache, a votat şi Codul penal şi cel de procedură penală.	O să o spun abrupt, ca să nu ne învârtim în jurul cozii: n-am desfiinţat-o pentru că o parte dintre cei care sunt acum în coaliţie erau, la acel moment al înfiinţării, de partea cealaltă, alături de PSD, adică UDMR. A votat şi înfiinţarea SIIJ, a votat şi legile Justiţiei varianta Iordache, a votat şi Codul penal şi cel de procedură penală.	ADEVĂRAT	Stelian Ion	Justitie
„Există şi o directivă europeană (2014/17/EC) care spune că, atunci când există o valută care este supusă deprecierii, iar această depreciere depășește 20% față de nivelul inițial al cursului, trebuie ca statele membre ale UE să intervină pe cale legislativă și să stabilească plafonări.”	„Există şi o directivă europeană (2014/17/EC) care spune că, atunci când există o valută care este supusă deprecierii, iar această depreciere depășește 20% față de nivelul inițial al cursului, trebuie ca statele membre ale UE să intervină pe cale legislativă și să stabilească plafonări.”	FALS	Elena Udrea	Externe
Dacă vă uitați la orașele care au purtat acest titlu în ultimul deceniu, dar și mai în spate, veți vedea că foarte puține dintre câștigătoare erau și capitale administrative în statele pe care le reprezentau.	Am fost de la început conștientă că Bucureștiul nu are prima șansă în această competiție pentru titlul de Capitală Europeană pentru anul 2021. Dacă vă uitați la orașele care au purtat acest titlu în ultimul deceniu, dar și mai în spate, veți vedea că foarte puține dintre câștigătoare erau și capitale administrative în statele pe care le reprezentau. Evident, strategia Uniunii Europene în această chestiune este de a sprijini anumite regiuni mai dezavantajate sa intre în circuitul cultural european. Deci era evident ca prima opțiune a celor care analizează astfel de dosare e spre oraşele mai mici, care nu au avantajele pe care le are Bucureștiul în ceea ce privește infrastructura, programele culturale sau pontențialul turistic.	PARȚIAL FALS	Gabriela Firea	Politica
...nu există o reglementare specifică (n.r. - privind modul în care premierul poate acorda patronaj), așa cum este procedura prin care președintele României poate acorda înalt patronaj. În concluzie, liberalii au vrut să-l facă un mare om de stat pe domnul general Ciucă și foarte probabil i-au inventat un drept pe care îl are doar președintele României.	Din curiozitate am căutat pe site-ul guvernului României și în comunicările publice ale executivului și nu am găsit o procedură privind modul în care premierul poate acorda patronaj unei acțiuni sau unui eveniment. E și normal să nu găsim, pentru că nu există o reglementare specifică, așa cum este procedura prin care președintele României poate acorda înalt patronaj. În concluzie, liberalii au vrut să-l facă un mare om de stat pe domnul general Ciucă și foarte probabil i-au inventat un drept pe care îl are doar președintele României.	PARȚIAL ADEVĂRAT	Beniamin Todosiu	Politica
"Inflația nu este la nivel record și nici nu e 5%, 5% e o estimare a Băncii Naționale""."	 „Inflația nu este la nivel record și nici nu e 5%, 5% e o estimare a Băncii Naționale. Să știți că nu există o creștere economică, în lume nu s-a inventat, fără să aibă și un puseu inflaționist”.	TRUNCHIAT	Dan Vîlceanu	Economie
Bani pentru reclame: 16,6 milioane lei Bani pentru investiții RADET: 13 milioane de lei	Bani pentru reclame: 16,6 milioane lei Bani pentru investiții RADET: 13 milioane de lei	ADEVĂRAT	Cristina Prună	Finante
Autodenunț: și eu am spor de 25% pentru fonduri europene la indemnizație. [...] legea nu permite primarului să renunțe la sporul acesta.	Autodenunț: și eu am spor de 25% pentru fonduri europene la indemnizație. [...] legea nu permite primarului să renunțe la sporul acesta.	TRUNCHIAT	Radu Mihaiu	Politica
[Amendamentele] Nu depășesc cadrul directivei europene!	[Amendamentele] Nu depășesc cadrul directivei europene!	PARȚIAL FALS	Florin Iordache	Externe
Statul român vinde cu 0,68 lei (energie electrică - n.r.) dumneavoastră și mie acasă, casnici. Este cel mai mic preț din Europa.	„Unde-s creșterile? Deci, statul român vinde cu 0,68 de bani dumneavoastră și mie acasă. 0,68 de lei este prețul pe care îl plătiți și dumneavoastră și eu, Marcel Ciolacu. Este cel mai mic preț din Europa. Nu există preț mai mic în Europa de 0,68 de bani”	TRUNCHIAT	Marcel Ciolacu	Energie
